start,end,Branch location,Date of reporting,Select the product name,Select product category,What was the opening stock for the week,what was the quantity of the product recieved this week?,How many units of this product were sold this week?,Was there any delay in supply this week?,"If yes, how many days was the delay?",What recommendation would you like to make to improve product availability or supply?,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2025-11-10 12:18:01.045000+01:00,2025-11-10 12:19:45.067000+01:00,Lagos,2025-11-10,Detergents,Cleaning products,50,150,20,Yes,2,continue with the tracking of products,602216127,4044077f-77c5-4893-a820-418bd7658a62,2025-11-10 11:19:46,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,1
2025-11-10 12:24:34.900000+01:00,2025-11-10 12:26:21.044000+01:00,Enugu,2025-11-08,Malt,Beverages,30,350,230,No,0,Work on suppliers delay,602222843,5545f1ed-9790-4a14-8e14-ed6a795b8222,2025-11-10 11:26:21,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,2
2025-11-10 12:26:21.060000+01:00,2025-11-10 12:32:12.352000+01:00,Lagos,2025-11-12,Detergents,Cleaning products,100,100,40,Yes,2,Supervise the suppliers,602228172,c123d056-1df2-4a0e-8436-f3b39f724389,2025-11-10 11:32:13,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,3
2025-11-10 12:32:12.374000+01:00,2025-11-10 12:33:26.693000+01:00,Onitsha,2025-11-10,Cornflakes,Beverages,40,349,200,No,0,Work on the customers services,602229134,1d444657-31ca-4c15-9f81-017be2d68354,2025-11-10 11:33:28,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,4
2025-11-10 12:33:26.702000+01:00,2025-11-10 12:41:01.618000+01:00,Kano,2025-11-04,Coco balls,Beverages,20,309,329,Yes,3,More products should be supplied,602235894,a6c5a051-e89e-45c6-a93e-43c04bdb2357,2025-11-10 11:41:03,,,submitted_via_web,,vBzJNjDpodaayNXvou5FmV,,5
2025-11-10 12:41:01.683000+01:00,2025-11-10 12:58:30.953000+01:00,Kano,2025-11-10,Detergents,Cleaning products,0,340,340,Yes,3,Increase in product availability,602252613,78734f46-8c41-4dea-8c17-37956870316b,2025-11-10 11:58:31,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,6
2025-11-10 12:58:30.971000+01:00,2025-11-10 13:00:13.799000+01:00,Onitsha,2025-11-10,Coco balls,Beverages,50,360,410,Yes,3,Increase product availability,602253959,bb89f820-c3ff-4836-8e26-0f3ce6b1afc2,2025-11-10 12:00:14,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,7
2025-11-10 13:00:13.813000+01:00,2025-11-10 13:13:39.441000+01:00,Lagos,2025-11-05,Bar soaps,Cleaning products,9,199,208,Yes,2,Increase product availability,602266601,1ad571e3-6332-461d-9a81-1e9509b2058d,2025-11-10 12:13:41,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,8
2025-11-10 13:13:39.533000+01:00,2025-11-10 13:15:34.738000+01:00,Kano,2025-11-05,Milo,Beverages,50,150,140,No,0,"Product packaging is poor, work on it",602268080,399222c1-e55b-4187-b54f-63fc827bd363,2025-11-10 12:15:35,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,9
2025-11-10 13:15:34.751000+01:00,2025-11-10 15:26:33.881000+01:00,Kano,2025-11-07,Detergents,Beverages,80,200,210,Yes,1,Increase product availability,602392484,e7781899-2bca-4a97-8114-af0387af2be5,2025-11-10 14:26:34,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,10
2025-11-10 15:26:33.902000+01:00,2025-11-10 15:27:44.692000+01:00,Ekiti,2025-11-06,Beans,Food items,220,150,0,Yes,3,What on the product delay,602393619,36f13e77-6ae0-4305-8c65-b33a5f48a32e,2025-11-10 14:27:45,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,11
2025-11-10 15:27:44.706000+01:00,2025-11-10 15:29:25.165000+01:00,Ekiti,2025-11-10,Coca cola,Beverages,240,500,400,No,0,Work on the packaging,602395326,89aeb4e4-706e-4301-adf1-3dd5645ddaef,2025-11-10 14:29:25,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,12
2025-11-10 15:29:25.180000+01:00,2025-11-10 15:31:08.263000+01:00,Enugu,2025-11-10,Groundnut oil,Food items,70,300,0,Yes,2,Reduce the supplier of the product,602397402,2bf8e72b-102b-484d-804a-59c0aa16d7f2,2025-11-10 14:31:09,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,13
2025-11-10 15:37:21.874000+01:00,2025-11-10 15:38:19.533000+01:00,Enugu,2025-11-20,Beans,Cleaning products,50,34,17,Yes,4,Timely delivery,602404152,ceb880f2-1ded-409e-b14a-adac689cd186,2025-11-10 14:38:20,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,14
2025-11-10 15:31:08.275000+01:00,2025-11-10 19:14:59.385000+01:00,Kano,2025-11-08,Beans,Food items,50,70,0,Yes,3,Work on the delay in supply,602586749,c434c70c-7df5-480a-b674-2da8d7271767,2025-11-10 18:15:00,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,15
2025-11-10 19:14:59.397000+01:00,2025-11-10 19:16:17.374000+01:00,Lagos,2025-11-08,Detergents,Cleaning products,70,159,109,No,0,Increase in product availability,602587541,ca50a796-17c8-4ac2-a50a-8cffae2b71ac,2025-11-10 18:16:18,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,16
2025-11-10 19:16:17.388000+01:00,2025-11-10 19:20:25.222000+01:00,Onitsha,2025-11-07,Bar soaps,Cleaning products,20,210,200,No,0,Improve product packaging,602590344,920b968c-4742-4a0a-bb67-d10bf5c09ed6,2025-11-10 18:20:26,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,17
2025-11-10 19:20:25.251000+01:00,2025-11-10 19:23:46.488000+01:00,Onitsha,2025-11-07,Milo,Beverages,90,200,109,Yes,2,Work on product availability,602592483,2c322207-9c89-40d3-821b-d8c7e6a29a15,2025-11-10 18:23:48,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,18
2025-11-10 19:23:46.528000+01:00,2025-11-10 21:34:48.689000+01:00,Onitsha,2025-11-07,Detergents,Cleaning products,50,140,30,Yes,1,Work on the product quality,602658300,62de5b89-2398-40dd-af4d-4304a530fa33,2025-11-10 20:34:49,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,19
2025-11-10 21:34:48.709000+01:00,2025-11-10 21:38:16.468000+01:00,Onitsha,2025-11-10,Cornflakes,Beverages,120,0,90,Yes,7,Work on product availability,602661194,2babc08a-328f-4cff-8a03-15b9ce709a5f,2025-11-10 20:42:32,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,20
2025-11-10 21:38:16.499000+01:00,2025-11-11 08:44:27.333000+01:00,Onitsha,2025-11-11,Palm oil,Cleaning products,50,90,240,Yes,2,Increase product availability,602911012,7a516900-c468-4ced-98de-be9af76a9c43,2025-11-11 07:44:28,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,21
2025-11-11 08:44:27.362000+01:00,2025-11-11 08:46:18.993000+01:00,Enugu,2025-11-11,Rice,Food items,70,130,0,Yes,0,Reduce product availability,602912634,454572c0-d5ed-494f-8511-ede514bab93a,2025-11-11 07:46:19,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,22
2025-11-11 08:46:19.008000+01:00,2025-11-11 08:47:57.892000+01:00,Lagos,2025-11-11,Malt,Beverages,40,60,70,Yes,1,Work on product quality,602913984,f507579e-efff-48f5-a97f-0fcc3750bc03,2025-11-11 07:47:58,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,23
2025-11-11 08:47:57.906000+01:00,2025-11-11 08:49:10.529000+01:00,Kano,2025-11-11,Detergents,Cleaning products,20,320,300,No,0,Increase product availability,602914938,79bd0f12-80f4-44f6-9976-ca51f3095686,2025-11-11 07:49:11,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,24
2025-11-11 08:49:10.543000+01:00,2025-11-11 08:50:15.192000+01:00,Onitsha,2025-11-11,Beans,Food items,49,200,120,Yes,2,Work on suppliers delay,602915729,cb9bf14b-d1ce-4ec2-be91-2cc39371dfa1,2025-11-11 07:50:15,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,25
2025-11-11 08:50:15.207000+01:00,2025-11-11 08:51:28.907000+01:00,Ekiti,2025-11-11,Cornflakes,Beverages,20,290,0,No,0,Work on the product quality,602916732,77abb8a4-abd1-4658-86a6-ea21dcb719a3,2025-11-11 07:51:29,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,26
2025-11-11 08:51:28.924000+01:00,2025-11-11 08:52:29.353000+01:00,Onitsha,2025-11-11,Coco balls,Beverages,40,200,100,No,0,Work on the products availability,602917521,476c12d6-dadc-4c40-b4ea-6e9347b3114f,2025-11-11 07:52:30,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,27
2025-11-11 08:52:29.367000+01:00,2025-11-11 09:47:11.963000+01:00,Lagos,2025-11-11,Coco balls,Beverages,29,100,50,Yes,1,Work on the product packaging,602969789,af4668e6-dcae-425d-8b77-9ac11770e2c7,2025-11-11 08:47:12,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,28
2025-11-11 09:47:12.014000+01:00,2025-11-11 09:54:00.122000+01:00,Kano,2025-11-11,Groundnut oil,Food items,100,400,200,Yes,2,Work on product delay,602976451,dbadaaa0-e49d-4b89-92bc-957230f0def3,2025-11-11 08:54:01,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,29
2025-11-11 09:54:00.177000+01:00,2025-11-11 17:01:37.824000+01:00,Ekiti,2025-11-11,Rice,Food items,300,450,200,No,0,Work on the delay in supplier,603381251,a670e75e-709c-4179-9a2f-b4c608a2e14c,2025-11-11 16:01:38,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,30
2025-11-11 17:01:37.840000+01:00,2025-11-11 17:05:09.708000+01:00,Onitsha,2025-11-11,Coca cola,Beverages,50,250,300,Yes,2,Work on products availability,603384556,9dfe1884-3be7-4280-a305-ff8391a23e86,2025-11-11 16:05:11,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,31
2025-11-11 17:05:09.743000+01:00,2025-11-11 17:16:53.116000+01:00,Onitsha,2025-11-12,Malt,Beverages,0,400,400,No,0,So far we have been good,603393578,efc1cf4d-aea2-4092-a116-9fde49c0d2fe,2025-11-11 16:16:58,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,32
2025-11-11 17:16:53.163000+01:00,2025-11-11 17:23:34.828000+01:00,Lagos,2025-11-12,Coco balls,Beverages,20,250,250,No,0,Increase product quality,603399188,ad93bd68-a315-4d89-b00d-575f2642e5ab,2025-11-11 16:23:35,,,submitted_via_web,,vfcvBZtk3u86Fejw4E4Wa6,,33
